text,severity_label,severity_score
Man following me near Rajwada at night,2,88
Raat ko Loha Mandi mein mobile cheen liya knife dikhakar,2,94
Suspicious group blocking path near Old Railway Station,2,85
Being followed by 2 men on bike near Nemawar Road at 10pm,2,91
Aadmi ne haath pakda Banganga ke paas,2,82
Knife threat at Canteen Square by unknown person,2,96
Raat 11 baje Scheme No 1 mein physical assault hua,2,89
Group of 5 rowdy boys eve teasing near South Tukoganj market,2,87
Molestation attempt in bathroom area,2,93
Chain snatching near railway station with violence,2,90
Being harassed by drunk man near Rajwada,2,84
Weapon threat - afraid for my safety,2,95
Physical fight broke out - police took time,2,86
Attacked by unknown assailants near Loha Mandi,2,92
Grabbed from behind near Old Railway Station,2,88
Verbal abuse turned into physical assault,2,91
Knife shown during snatching incident,2,97
Gang harassment near Nemawar Road market,2,85
Sexual harassment complaint near bus stand,2,94
Hit by group near Devi Ahilyabai Holkar Station,2,87
Threatening behavior by local gundas,2,89
Attempted robbery with weapon,2,96
Beaten up near Canteen Square by strangers,2,83
Harassment and threats received at night,2,92
Isolated location attack near Banganga area,2,88
Forced into dark alley near South Tukoganj,2,90
Dangerous criminal activity witnessed,2,86
Assault by organized group,2,94
Knife pulled during confrontation,2,95
Violent encounter near Rajwada bazaar,2,87
Group eve teasing turned aggressive,2,89
Snatching with physical force near Loha Mandi,2,85
Nighttime harassment - felt life threatened,2,93
Attacked while walking alone,2,91
Weapon shown to extort money,2,97
Aggressive behavior escalated to violence,2,84
Hit and run - left bleeding,2,90
Assault near Old Railway Station platform,2,88
Gang blocking path demanding valuables,2,92
Dangerous encounter with armed person,2,86
Molestation in crowded area,2,94
Robbery with knife threat,2,96
Group harassment led to physical injury,2,85
Stalking turned into confrontation,2,89
Beaten by multiple assailants,2,91
Knife attack near Scheme 54,2,87
Following me threatening manner,2,93
Assault near Nemawar Road intersection,2,89
Physical attack by unknown person,2,92
Weapon pulled - very dangerous situation,2,88
Criminal behavior - needs police action,2,94
Harassment escalated dangerously,2,90
Gang activity near Canteen Square,2,86
Attempted kidnapping incident,2,95
Assault near Banganga with multiple attackers,2,83
Dangerous criminal element active,2,91
Violent crime witnessed personally,2,87
Harassment by organized group,2,93
Knife threat during robbery,2,96
Attack near South Tukoganj bazaar,2,85
Gang molestation incident,2,89
Serious physical assault occurred,2,92
Weapon used in robbery,2,88
Threatening behavior from local rowdies,2,94
Following me - felt unsafe,2,90
Physical confrontation turned violent,2,86
Assault incident near railway station,2,91
Dangerous activity witnessed nearby,2,84
Attempted robbery with weapon threat,2,97
Harassment by multiple people,2,85
No street lights on this road at night,1,58
Very isolated area after 8pm,1,52
Suspicious men standing near Kanadiya Road,1,67
Verbal harassment by group near bus stand,1,61
Is gali mein raat ko koi nahi hota,1,48
Dark alley with poor visibility,1,64
Questionable activity near market area,1,56
Dim lighting makes area unsafe at night,1,50
Isolated location - few people around,1,68
Suspicious characters loitering nearby,1,55
No lighting near this building,1,62
Area feels unsafe when empty,1,54
Group of boys standing suspiciously,1,66
Poor street illumination at night,1,59
Feels risky walking alone here,1,63
Darkness in this locality concerning,1,51
Vehicles moving suspiciously nearby,1,65
Area has bad reputation for safety,1,60
Limited crowd at night - feels lonely,1,57
Suspicious activity reported earlier,1,64
Dim visibility - hard to see path,1,53
Unknown people gathering regularly,1,69
Lighting insufficient for safety,1,61
Area becomes deserted after sunset,1,49
Questionable behavior observed multiple times,1,67
No one around at night - risky,1,55
Suspicious group activity noticed,1,62
Poor illumination causes concern,1,58
Isolated pathway near this area,1,71
Verbal remarks from strangers,1,60
Darkness and isolation combination,1,52
Few people pass by at night,1,66
Suspicious individuals seen often,1,54
Inadequate street lighting here,1,63
Area feels unsafe when quiet,1,59
Questionable characters around here,1,50
Limited visibility at night,1,68
Suspicious standing and waiting,1,56
Dark spot near my route,1,61
Lack of crowd at night,1,64
Verbal comment from passing group,1,51
Suspicious activity near shop,1,65
No illumination on this stretch,1,57
Few people visible at night,1,62
Questionable behavior by locals,1,53
Poor lighting conditions persist,1,70
Suspicious men hanging around,1,59
Area becomes very quiet at night,1,67
Road is broken near Scheme 54,0,28
No parking space available here,0,15
Street light not working but area is safe,0,22
Heavy traffic near AB Road,0,18
Thodi gandagi hai is area mein,0,25
Pothole on main road needs repair,0,12
Traffic congestion during peak hours,0,20
Minor road damage - drive carefully,0,16
Parking extremely difficult here,0,24
Street maintenance overdue,0,19
Water overflow after rain,0,23
Road condition deteriorating slowly,0,14
Vehicle damage from potholes,0,26
Traffic signal broken,0,11
Construction debris on sidewalk,0,21
Dustbin overflowing regularly,0,17
No proper parking marked,0,29
Traffic moves slowly here,0,13
Sidewalk damaged in sections,0,27
Missing street sign nearby,0,30
Road needs resurfacing badly,0,10
Heavy garbage accumulation,0,22
Temporary traffic delays,0,18
Parking meter not functional,0,25
Minor street maintenance needed,0,16
Road markings faded,0,24
Traffic light timing off,0,19
Drainage issue during monsoon,0,23
Broken bench at bus stop,0,15
Footpath cracked and uneven,0,26
Street crossing difficult,0,12
Vendor blocking pathway,0,28
Minor potholes developing,0,14
Street sign missing here,0,31
Road surface rough patches,0,20
Traffic bottleneck during rush,0,17
Parking lot full usually,0,29
Street light dimmer than needed,0,11
Sidewalk maintenance needed,0,25
Road debris after storm,0,21
Traffic diverted frequently,0,16
Parking space very limited,0,27
Street cleanliness concerns,0,13
Minor flooding on roadside,0,24
Vehicle congestion common,0,18
Parking availability low,0,30
Broken curb near intersection,0,19
Street vendor taking space,0,26
Road surface quality poor,0,22
Traffic jam likely here,0,15
Parking enforcement lacking,0,28
Minor street repairs needed,0,12
Drainage system backing up,0,23
Road marking unclear,0,17
Pedestrian crossing unsafe,0,25
Traffic pattern confusing,0,14
Street maintenance behind,0,29
Pothole getting bigger,0,10
Vendor encroachment issue,0,20
Road width insufficient,0,31
Traffic light coordination poor,0,16
Parking lot design bad,0,27
Street cleaning irregular,0,13
Sidewalk trip hazard,0,24
Vehicle movement slow,0,18
Parking meter broken,0,30
Street light power low,0,11
Road uneven surface,0,26
Lighting needs improvement urgent,1,65
Isolation concerns growing,1,60
Suspicious activity ongoing,1,48
Dark and scary night,1,69
Verbal remarks uncomfortable,1,54
Poor visibility nervous,1,63
Suspicious gathering spots,1,58
Limited people risky,1,66
Harassment case filed,2,94
Knife incident reported,2,92
Gang attack witness,2,91
Threatening phone calls,2,96
Violent confrontation,2,95
Assault needs investigation,2,89
